LocalName,Province,LicensePlateNo,Lon,Lat
Adana,Adana,1,36.99498863,35.32000403
Ad_yaman,Adiyaman,2,37.77039349,38.27992672
Afyonkarahisar,Afyon,3,38.75038535,30.55001094
A_r_,Agri,4,39.71983522,43.05131506
Aksaray,Aksaray,68,38.364952,34.015205
Amasya,Amasya,5,40.65368003,35.83304765
Ankara,Ankara,6,39.92723859,32.86439164
Antalya,Antalya,7,36.88998212,30.69997595
Ardahan,Ardahan,75,41.112556,42.701989
Artvin,Artvin,8,41.18082,41.820483
Ayd_n,Aydin,9,37.8499752,27.85002071
Bal_kesir,Balikesir,10,39.6503821,27.89001827
Bart_n,Bartin,74,41.637215,32.335026
Batman,Batman,72,37.89041201,41.14001054
Bayburt,Bayburt,69,40.255179,40.225666
Bilecik,Bilecik,11,40.14999902,29.9829966
Bing_l,Bingol,12,38.88500404,40.49800256
Bitlis,Bitlis,13,38.39400012,42.12299765
Bolu,Bolu,14,40.73625897,31.60612219
Burdur,Burdur,15,37.71666011,30.28333554
Bursa,Bursa,16,40.1999868,29.06999792
äanakkale,Canakkale,17,40.14593325,26.4063879
äank_r_,Cankiri,18,40.60700101,33.62100359
äorum,Corum,19,40.5199931,34.95000077
Denizli,Denizli,20,37.77039349,29.08002315
Diyarbak_r,Diyarbakir,21,37.92043601,40.23004024
D™zce,Ducze,81,40.845846,31.165301
Edirne,Edirne,22,41.67043968,26.56999548
Elaz__,Elazig,23,38.67997622,39.22999792
Erzincan,Erzincan,24,39.75264976,39.49277258
Erzurum,Erzurum,25,39.92039146,41.29002722
Eski_ehir,Eskisehir,26,39.7949986,30.52996049
Gaziantep,Gaziantep,27,37.07498374,37.38499426
Giresun,Giresun,28,40.91300115,38.39000452
G™m™_hane,Gumushane,29,40.46400013,39.48399962
Hakk_ri,Hakkari,30,37.57443646,43.7408337
Hatay,Hatay,31,36.2303583,36.12000688
I_d_r,Igdir,76,39.92029,44.046218
Isparta,Isparta,32,37.76998008,30.52996049
Istanbul,Istanbul,34,41.10499615,29.01000159
_zmir,Izmir,35,38.43614968,27.15179401
Kahramanmara_,K.maras,46,37.56761,36.925666
Karab™k,Karabuk,78,41.20000327,32.60001501
Karaman,Karaman,70,37.18154055,33.21501623
Kars,Kars,36,40.60846315,43.09746212
Kastamonu,Kastamonu,37,41.38900215,33.78300349
Kayseri,Kayseri,38,38.73495994,35.49001949
K_r_kkale,Kirikkale,79,39.85036989,33.52998409
K_rklareli,Kirklareli,71,41.74299917,27.22599962
K_r_ehir,Kirsehir,39,39.14199917,34.1710026
Kilis,Kilis,40,36.7204059,37.11999752
Kocaeli,Kocaeli,41,40.77602399,29.93061723
Konya,Konya,42,37.87501243,32.47500972
K™tahya,Kutahya,43,39.42000856,29.92999711
Malatya,Malatya,44,38.37043439,38.30002885
Manisa,Manisa,45,38.63039268,27.43996822
Mardin,Mardin,47,37.31150677,40.74272213
Mersin,Mersin,33,36.810314,34.620906
Mu_la,Mugla,48,37.21637046,28.36389115
Mu_,Mus,49,38.74901593,41.49693966
Nev_ehir,Nevsehir,50,38.62400404,34.72399852
Ni_de,Nigde,51,37.97600412,34.69400163
Ordu,Ordu,52,41.00042889,37.8699259
Osmaniye,Osmaniye,80,37.075769,36.248106
Rize,Rize,53,41.02084108,40.52185705
Sakarya,Sakarya,54,40.76666114,30.40000251
Samsun,Samsun,55,41.27999839,36.34366247
_anl_urfa,Sanliurfa,63,37.16999086,38.79498572
Siirt,Siirt,56,37.94400007,41.93299858
Sinop,Sinop,57,42.02299802,35.1530015
__rnak,Sirnak,58,37.520764,42.457244
Sivas,Sivas,73,39.74541506,37.03498979
Tekirda_,Tekirdag,59,40.99086875,27.50998979
Tokat,Tokat,60,40.30599617,36.56300452
Trabzon,Trabzon,61,40.97999086,39.71999385
Tunceli,Tunceli,62,39.11670002,39.5333015
U_ak,Usak,64,38.68036379,29.4200024
Van,Van,65,38.49543968,43.39997595
Yalova,Yalova,77,40.657663,29.282323
Yozgat,Yozgat,66,39.81799809,34.81499749
Zonguldak,Zonguldak,67,41.43037681,31.78001339